feature_1,feature_2,feature_3,feature_4,feature_5
0.8708536562934863,2.226518951420103,99,A,
-0.7951480832447376,5.073834893598716,85,B,2.0
0.04229559114140118,5.125890494741816,4,B,
0.14254283247196328,4.2631559190163255,27,A,
0.739586601835933,8.17642152492709,15,B,1.0
0.5864938611398898,6.3343634577767896,91,B,3.0
0.7020787949495316,6.665789228678898,59,C,2.0
0.8567857196775832,6.829983376701106,1,C,
-2.7456667842236135,7.52201267488774,81,C,
1.859842883098856,4.16925732262568,76,B,3.0
1.2307452822091147,9.362546063974774,60,B,2.0
-0.1587750124170328,5.058678861434901,81,B,3.0
-0.8295390982030834,5.179193447416232,46,B,
-0.04891485132913234,9.512404392762972,52,A,2.0
0.21248296842188824,7.150883818924885,10,B,1.0
0.367201568997141,3.453965980833903,61,C,2.0
0.1321949647833295,5.039636225779024,22,B,
-0.003588630625854425,2.3692632807652,22,C,1.0
-2.691890872509973,7.6402806087561785,45,B,
-1.2257254935133974,5.385046072268779,79,B,
0.3960899470759412,4.3252920361868945,78,C,3.0
-0.30668707655336225,3.8136503797036907,37,B,2.0
-0.8283924862219905,7.6361395738120255,26,C,
-0.13935893802714536,4.397610108446936,49,A,2.0
-0.23701635442263808,7.123382626554868,25,B,2.0
-0.07269363983102045,4.218085404525482,61,B,
-0.3389958462450132,3.6703629321890956,11,C,
1.4751768812891448,6.7804001399666385,90,B,
-0.2814632742197025,2.5622176921486184,86,A,
0.6803797162299489,5.1206763829515785,88,C,
2.8449762860963776,7.010143415067739,60,B,3.0
0.38454742805329056,5.469513407006247,78,A,1.0
0.12610997523050863,4.533696604658721,69,C,
-1.0315586768187466,6.09056700911042,74,C,1.0
-0.8383717102667904,2.942112225719116,27,A,
0.4488212110946062,4.288252968538,72,A,
1.4312761338978781,5.256214921903325,23,B,1.0
-0.503521420663331,4.502530414961114,1,C,2.0
-0.3213709696643246,5.583628289370946,10,A,1.0
0.7389050484267495,3.9800209220296456,36,C,
1.5171411681949822,4.745308480872414,90,B,2.0
-1.2058506663203359,5.910267985151018,61,C,2.0
0.522968638188155,3.8478121412421533,60,C,
1.0338599747014052,3.8654080677057574,55,A,1.0
-0.6474241914855202,3.7735964528312564,29,B,
0.9555411845762459,7.376150335911154,68,A,3.0
0.3157791388221681,2.36485673503884,92,A,3.0
-1.0115818194500716,3.71502530627078,62,B,2.0
-0.47249991476246,4.712461778488961,89,B,2.0
0.13263468544271928,6.2619911656934235,31,C,1.0
1.1773890826017395,4.953323118570036,95,A,2.0
-2.0406465208249553,5.707696293883194,80,B,
1.3977202397793813,3.375157367348891,38,C,2.0
0.7506798590950229,2.760073841129324,55,A,3.0
1.5875993933992083,4.611622635532331,10,A,1.0
-0.05692288735300452,6.435752422008913,13,C,2.0
-0.1763680612722603,5.763434772769292,13,A,2.0
-1.3688583049898113,6.646073870043971,13,A,3.0
0.253979319645114,4.397307724058329,68,C,
-1.2157311899656202,5.893737927660257,47,C,
0.6374795768410337,2.04261687017067,3,C,1.0
1.3352656972072685,3.8933707444089514,39,A,3.0
-2.6864191634475705,7.525486342813066,63,B,3.0
0.5731315370962649,5.28867650020109,93,C,
-0.8916819594963566,7.420727966832996,1,C,2.0
-0.7304883780130667,3.5755702183775777,69,B,
0.28736441282515773,2.9564185814872683,92,A,3.0
-2.860246072909197,5.315483057348324,8,B,3.0
-0.13302602651740916,8.166015930598446,49,A,
0.2871599791348372,3.681695086659561,71,B,1.0
0.2804254592171774,5.044955928438027,33,A,
-0.11069255244411301,5.57058568098088,42,B,2.0
-1.606547725973231,8.032806680605606,31,A,1.0
-1.375373666055999,-0.9717258652352774,95,A,2.0
0.09939815130349627,4.525426764220606,17,A,3.0
-1.76565227129972,3.428944677510295,69,A,3.0
0.37479773717616865,5.119349731335652,27,C,
-0.3660559359820659,4.721527149646422,27,A,1.0
-0.6569060149306676,4.936409095623581,96,A,3.0
-0.04430009869905188,6.201298079377672,32,C,3.0
1.142963462208731,2.4202671961894886,82,C,2.0
0.3796099619286619,3.7879554094504226,65,B,3.0
-1.0230001468531262,4.3117743083620805,96,C,2.0
0.09469345638779583,3.5522516733410487,49,C,1.0
-0.20532660430576385,7.6661436177026365,32,C,2.0
-2.462871886897069,8.864447842364378,59,B,1.0
